ORIGEN,VARIABLE,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
ESQUEL AERO,TEMP.MIN,8.2,7.7,5.5,2.7,0.5,-1.8,-2.8,-1.4,0.0,2.3,4.7,7.0
ESQUEL AERO,PRECIPITACIONES,18.8,18.4,24.5,43.1,65.0,79.4,60.2,47.0,35.7,28.3,20.8,20.8
TRELEW AERO,TEMP.MAX,29.2,28.1,25.0,20.7,15.7,12.2,12.3,14.8,17.5,21.2,24.9,27.5
TRELEW AERO,TEMP.MIN,13.6,12.6,10.5,6.7,3.4,0.8,0.2,1.4,3.6,6.5,9.5,11.9
TRELEW AERO,PRECIPITACIONES,13.6,18.9,23.3,24.8,26.3,22.2,17.8,13.9,14.6,19.2,13.7,13.9
COMODORO RIVADAVIA AERO,TEMP.MAX,26.1,25.0,22.4,18.6,14.2,10.9,10.8,12.8,15.4,18.8,22.1,24.5
COMODORO RIVADAVIA AERO,TEMP.MIN,13.6,12.9,10.9,8.3,5.5,3.1,2.7,3.6,5.1,7.5,10.0,12.1
COMODORO RIVADAVIA AERO,PRECIPITACIONES,11.6,14.4,18.2,25.4,37.4,35.9,23.4,20.1,20.1,16.4,14.5,10.1
SAN JULIÁN AERO,TEMP.MAX,23.1,22.2,19.7,15.7,10.7,7.1,7.3,9.9,13.3,16.6,19.6,21.5
SAN JULIÁN AERO,TEMP.MIN,9.7,9.2,7.4,4.9,2.0,-0.1,-0.4,0.6,2.2,4.4,6.7,8.6
SAN JULIÁN AERO,PRECIPITACIONES,14.3,22.5,23.4,19.1,31.1,33.7,22.5,18.3,14.3,17.3,14.9,20.2
RÍO GALLEGOS AERO,TEMP.MAX,20.0,19.6,17.0,13.2,8.4,4.9,4.8,7.4,11.3,14.8,17.2,18.8
RÍO GALLEGOS AERO,TEMP.MIN,7.6,7.1,5.3,2.9,0.2,-2.0,-2.4,-0.6,0.9,2.4,4.8,6.6
RÍO GALLEGOS AERO,PRECIPITACIONES,27.7,27.1,26.7,26.7,26.9,18.3,19.2,16.9,13.3,16.9,22.7,25.9
RÍO GRANDE B.A.,TEMP.MAX,16.1,15.7,13.5,10.5,6.5,3.1,3.0,5.2,8.3,11.4,13.4,15.1
RÍO GRANDE B.A.,TEMP.MIN,5.7,5.4,3.5,1.6,-0.8,-3.2,-3.1,-1.7,-0.2,1.6,3.3,4.8
RÍO GRANDE B.A.,PRECIPITACIONES,36.0,29.7,27.2,28.8,29.4,26.7,23.9,20.7,17.1,18.5,27.0,36.0
BASE ESPERANZA,TEMP.MAX,4.3,3.7,1.2,-2.1,-4.0,-6.2,-6.3,-4.6,-2.3,-0.4,2.1,3.8
BASE ESPERANZA,TEMP.MIN,-1.2,-2.0,-5.6,-9.7,-12.1,-14.3,-14.8,-13.2,-10.4,-8.0,-4.2,-1.9
BASE ESPERANZA,PRECIPITACIONES,,,,,,,,,,,,
BASE ORCADAS,TEMP.MAX,3.4,3.4,2.3,0.4,-1.8,-4.4,-5.3,-4.0,-1.9,0.4,2.3,3.0
BASE ORCADAS,TEMP.MIN,-0.5,-0.3,-1.5,-4.1,-7.5,-11.7,-13.9,-12.0,-9.3,-5.9,-3.2,-1.4
BASE ORCADAS,PRECIPITACIONES,,,,,,,,,,,,
BASE BELGRANO II,TEMP.MAX,0.7,-3.7,-8.8,-13.5,-14.6,-15.7,-17.1,-16.6,-14.9,-11.0,-4.1,0.4
BASE BELGRANO II,TEMP.MIN,-5.9,-10.9,-16.1,-20.7,-22.0,-23.1,-24.5,-24.4,-23.0,-19.4,-12.3,-6.9
BASE BELGRANO II,PRECIPITACIONES,,,,,,,,,,,,
BASE MARAMBIO,TEMP.MAX,1.6,0.7,-2.8,-6.6,-8.5,-10.5,-10.3,-8.9,-5.8,-3.8,-0.5,1.3
BASE MARAMBIO,TEMP.MIN,-2.9,-4.3,-9.1,-14.2,-16.6,-18.3,-18.7,-17.3,-14.1,-11.0,-6.5,-3.5
BASE MARAMBIO,PRECIPITACIONES,,,,,,,,,,,,
BASE SAN MARTÍN,TEMP.MAX,4.5,3.3,1.3,-0.9,-2.3,-5.8,-7.3,-6.9,-4.6,-2.1,1.2,3.4
BASE SAN MARTÍN,TEMP.MIN,-0.3,-1.3,-3.6,-5.8,-8.4,-13.5,-16.3,-16.8,-13.9,-10.2,-5.5,-1.8
BASE SAN MARTÍN,PRECIPITACIONES,,,,,,,,,,,,
